,code,description,disciplinary course(s),consecutive course(s),faculty,cancel_course
2038,cn416,technology related to cloud computing explore solutions and design principle for building large network-based systems to both compute and data intensive computing topics include resource virtualization concept system implementation and system management deployed cloud computing such as vmware esx kvm cloudera openstack vcloud director and many other systems,['disciplinary course(s): cn310'],[],eng,['cn310']
2039,cn417,deploying and managing network servers running caching domain name service (dns) web server active directory smtp network file sharing advance networking and firewall configuration understanding the system process package management and troubleshoot the system,['disciplinary course(s): cn310'],['consecutive course(s): cn418'],eng,"['cn310', 'cn418']"
2040,cn426,routing protocols multicast and broadcast routing wireless networks and mobile systemsmultimedia networking security in computer networks network management quality-of-services (qos) networks,['disciplinary course(s): cn321'],[],eng,['cn321']
2042,cn446,this course covers the principles of digital speech processing review of digital signal processing matlab functionality for speech processing fundamentals of speech production and perception basic techniques for digital speech processing including short-time energy magnitude autocorrelation short-time fourier analysis spectrogram homomorphic (convolutional) methods and linear predictive methods speech estimation methods including speech/non-speech detection voiced/unvoiced/non-speech segmentation/classification pitch detection formant estimation applications of speech signal processing including speech coding speech synthesis speech enhancement and speech recognition/natural language processing,['disciplinary course(s): cn340'],[],eng,['cn340']
2043,cn466,internet of things (iot) technology iot achitecture structure of iot device introduction to sensor and actuator m2m network and protocol gateway and edge computing internet connectivity protocols including rest and mqtt cloud computing for iot concepts of end-to-end security iot device and network management case studies of iot applications in smart factory and smart cities,['disciplinary course(s): cn361'],[],eng,['cn361']
2044,cn476,survey of contemporary internet technologies the role use and implementation of current internet tools basic tcp/ip and world wide web html techniques for text images links and form security issues topics on existing internet technologies,[],[],eng,[]
2045,ie121,relationship between structures properties production processed and applications of main groups of engineering materials ie metals polymers ceramics and composites; phase equilibrium diagrams mechanical properties and materials degradation,"['consecutive course(s): ie221, ie425, ie457']",[],eng,"['ie221', 'ie425', 'ie457']"
2048,ie252,workshop in basic metl working processes such as bench work sheet metal working welding shaping turning milling and grinding measurement tools such as vernier caliper micrometer etc safety principles in workshop operations basic maintenance of machine tools,[],[],eng,[]
2049,ie261,presenting and analyzing data probability theory statistics distribution sampling theory estimation theory statistical inference hypothesis testing analysis of variance regression analysis and correlation using statistical methods as the tool in engineering problem solving,['disciplinary course(s): approved by department/instructor'],"['consecutive course(s): ce566, ie301, ie311, ie313, ie361, ie362, ie364, ie417, ie449, ie467']",eng,"['ce566', 'ie301', 'ie311', 'ie313', 'ie361', 'ie362', 'ie364', 'ie417', 'ie449', 'ie467']"
2055,ie302,time value of money engineering project analysis using economic approaches depreciation evaluation of replacement alternatives risk and uncertainty estimating tax consequences,"['consecutive course(s): ie407, ie418, ie486, ie496']",[],eng,"['ie407', 'ie418', 'ie486', 'ie496']"
2056,ie311,motion and time used in human working using motion economics principle to design and improve work methods man-machine interaction : study relationship between man and machine in movement time and also flow of materials used in process data collection methods and tools such as flow process chart operation process chart multiple activity chart micro-motion study and simo chart etc determination of standard time work sampling and using rating factor analysis of work for improving production method wage payment and incentive planning,['disciplinary course(s): ie261'],"['consecutive course(s): ie301, ie390, ie433, ie486, ie496']",eng,"['ie261', 'ie301', 'ie390', 'ie433', 'ie486', 'ie496']"
2057,ie336,interesting topics for manufacturing engineering and design,[],[],eng,[]
2058,ie341,accidents and hazards in industrial processes accident models and theories of accident causation prevention of accidents risk analysis and assessments principles of safety management and loss prevention management planning and design for safety such as plant layout personal protective equipment machine guarding and maintenance safety law in both factory and labour industrial safety standards and industrial hygiene basic of environmental control and industrial psychology,['disciplinary course(s): นักศึกษาชั้นปีที่ 3 หรือstูงกว่า'],"['consecutive course(s): ie390, ie486, ie496']",eng,"['ie390', 'ie486', 'ie496']"
2059,ie351,manufacturing process laboratory including lay out sawing filing turning milling welding cnc machining center electrical discharge machining sand mold sheet metal forming and plastic forming,[],[],eng,[]
2060,ie352,material science laboratory including microstructure determination hardness measurement impact test bending test composition analyses using emission spectrometer tensile test and non destructive test,['disciplinary course(s): ie221'],[],eng,['ie221']
2061,ie353,principle of pneumatic and hydraulic system sensors and actuators in automation system pneumatic circuit and electrical circuit for automated machinery automation control with programmable logic controller (plc) basic plc programming technique,['disciplinary course(s): นักศึกษาชั้นปีที่ 3 หรือstูงกว่า'],"['consecutive course(s): ie354, ie459, ie478']",eng,"['ie354', 'ie459', 'ie478']"
2062,ie362,quality definition concept of quality management cost of quality techniques of analyzing and improving quality such as control chart process capability analysis sampling plan and designing of sampling plan engineering reliability for manufacturing introduction to quality assurance system,['disciplinary course(s): ie261'],"['consecutive course(s): ie301, ie390, ie409, ie486, ie496']",eng,"['ie261', 'ie301', 'ie390', 'ie409', 'ie486', 'ie496']"
2063,ie364,introduction to the methodology of operations research in modern industrial engineering problem solving emphasis is made on the use of mathematical models linear programming transportation model game theory queuing theory inventory model and simulation in decision making process for production planning and control,['disciplinary course(s): ie261'],"['consecutive course(s): ie301, ie312, ie466, ie486, ie496']",eng,"['ie261', 'ie301', 'ie312', 'ie466', 'ie486', 'ie496']"
2065,ie406,evolution of management concepts and theories of modern management for competing in the new economy management and engineering role of engineer and organization management engineering planning project management industrial safety management marketing and basic finance for engineer management environment analyses work incentive leadership principle of organization communication industrial and commercial laws,['disciplinary course(s): นักศึกษาชั้นปีที่ 3 หรือstูงกว่า'],[],eng,[]
2067,ie417,random number generation and validity test data collection and analysis design and analysis of simulation system building simulation model using computer software verification and validation simulation output analysis application of industry problem using simulation case study,['disciplinary course(s): ie261'],[],eng,['ie261']
2069,ie419,principles of project management functions and characteristics of leadership in organizations management information and resource selection of projects planning the projects risk management implementation and control the monitoring and evaluation case study,['disciplinary course(s): ie312'],[],eng,['ie312']
2070,ie433,introduction to plant design preliminary analysis of plant design layout and facilities planning material handling nature of plant layout problem plant location selection product analysis: basic types of layout service and auxiliary functions environmental impact assessment (eia) laws and regulations relating to industrial plan design,['disciplinary course(s): ie311'],[],eng,['ie311']
2071,ie456,principle of mold and die designs; introduction to fundamentals of plastics including material selections mold and die structure process selection surface treatments – chemical and heat treatments coating and hardening standard mold and die for various processing types including mold construction,['disciplinary course(s): ie250'],[],eng,['ie250']
2072,ie457,introduction to the plastics industry including fundamental aspects of plastics materials and processing principles of rheology involved in the processing of plastics and their applications in plastics process engineering fundamental of injection mold design plastics processing methods including extrusion injection molding blow molding compression molding and thermoforming,['disciplinary course(s): ie121'],[],eng,['ie121']
2073,ie467,principles of a design of experiment for product and process improvement planning and performing single or sequential experiments output response analysis with the changes of input factors general factorial designs 2k factorial designs and some limitations of experiments randomised blocks and latin squares designs including confounding in experimental design industrial case studies for production and operations planning and control product and process design and analysis including quality control,['disciplinary course(s): ie261 and ie361'],[],eng,"['ie261', 'ie361']"
2074,ie478,principles and applications of industrial robots in modern manufacturing systems robot classifications and configuration components and control kinematics analysis and control robot and system integration justifying the cost of robots operations and programming,['disciplinary course(s): ie353'],[],eng,['ie353']
2075,ie490,seminar in industrial engineering presentation and discussion in interested industrial engineering topics in order to enhance students’ knowledge and experiences; and well-prepared students to be industrial engineers,['disciplinary course(s): นักศึกษาชั้นปีที่ 4'],[],eng,[]
2076,ie496,students carry out industrial engineering projects of interests a project report and a presentation are required at the end of course the report must be written correctly according to both structure and grammar in thai and report guideline,['disciplinary course(s): ie302 and ie311 and ie312 and ie313 and ie341 and ie362 and ie364\nนักศึกษาชั้นปีที่ 4'],['consecutive course(s): ie497'],eng,"['ie302', 'ie311', 'ie312', 'ie313', 'ie341', 'ie362', 'ie364', 'ie497']"
2077,ie497,prerequisite : have earned credits of ie 496 continuation of industrial engineering project from ie 496 to the final stage a project report and a presentation are required at the end of course the report must be written correctly according to both structure and grammar in thai,['disciplinary course(s): ie496 or\nie496'],[],eng,"['ie496', 'ie496']"
2079,le200,linear algebra: review of vectors and matrices; vector spaces; linear transformations; systems of linear equations; eigenvalue problems; models in electrical engineering fourier and laplace transforms and their applications complex analysis: complex numbers and functions; complex integration; residue theorem,['consecutive course(s): le487'],[],eng,['le487']
2080,le201,basic practice to introduce students to basic instruments and equipments in electrical engineering,['consecutive course(s): le202'],[],eng,['le202']
2082,le203,this course focuses on practicing skills in basic electrical engineering learn how to use equipments and some electrical elements connect some electrical circuits identify analyze and solve some basic problems in electrical circuits and electronics learn how to use basic circuit and electronic software,['disciplinary course(s): le209 or\nparallel degree/ dual degree le209'],['consecutive course(s): me324'],eng,"['le209', 'le209', 'me324']"
2083,le209,basic dc and ac circuit analysis; voltage; current and power; transformers; introduction to electrical machinery; generators motors and their uses; concepts of three-phase system; method of power transmission; introduction to some basic electrical instruments,"['consecutive course(s): le203, le479, me321, me324']",[],eng,"['le203', 'le479', 'me321', 'me324']"
2085,le210,continuous-time and discrete-time signal and system; linear time-invariant system (lti); signal and system analysis using fourier transform laplace transform and z-transform; engineering applications of signal and system; modern techniques in signal and system analysis,['disciplinary course(s): ma111'],"['consecutive course(s): le314, le320, le381, le415']",eng,"['ma111', 'le314', 'le320', 'le381', 'le415']"
2086,le211,introduction to concepts of randomness and uncertainty: probability random variables stochastic processes applications to communications signal processing and automatic control,['disciplinary course(s): ma111'],['consecutive course(s): le330'],eng,"['ma111', 'le330']"
2087,le220,vector analysis; electrostatic fields; conductors and dielectrics; capacitance; convection and conduction currents; resistance magnetostatic fields; magnetic materials; inductance time-varying electromagnetic fields; maxwell’s equations,"['consecutive course(s): le333, le426, le428, le458, le473']",[],eng,"['le333', 'le426', 'le428', 'le458', 'le473']"
2088,le230,graph theory and applications introduction to numerical techniques: solutions of equations and system of equations method of least squares eigenvalue problem numerical differentiation and integration methods for solving differential equations,['disciplinary course(s): ma111'],[],eng,['ma111']
2089,le240,circuit element node and mesh analysis; circuit theorems; resistance inductance and capacitance; first and second order circuits; phasor diagram; ac power circuits; three-phase systems,"['consecutive course(s): ei212, le241, le260, le325, le479']",[],eng,"['ei212', 'le241', 'le260', 'le325', 'le479']"
2090,le241,diode: physical structure characteristics and modes of operation; diode application circuits; dc power supply amplifiers; bjt and fet physical structure characteristics and modes of operation; use as an amplifier and a switch; biasing; principle of small-signal analysis; models for 2- and 3-terminal devices; operational amplifier and its applications in linear and nonlinear circuits,['disciplinary course(s): le240'],"['consecutive course(s): ei301, le340, le380, le455, le465']",eng,"['le240', 'ei301', 'le340', 'le380', 'le455', 'le465']"
2091,le242,the design and implementation of digital circuits topics include number representations codes boolean algebra logic gates combinational and sequential circuit design (both synchronous and asynchronous) the real implementations begin with basic gates and progress to programmable logic devices (pld),['consecutive course(s): cn361'],[],eng,['cn361']
2092,le260,energy sources magnetic circuits electromechanical energy conversion energy and co-energy construction of rotating machines principle of dc rotating machines and their efficiencies principle of single-phase and three-phase transformers and their efficiencies,['disciplinary course(s): le240'],"['consecutive course(s): ei301, le360, le363']",eng,"['le240', 'ei301', 'le360', 'le363']"
2093,le301,laboratory work on topics in electrical engineering including electronic circuits electric machines and so on,['disciplinary course(s): le202'],['consecutive course(s): le302'],eng,"['le202', 'le302']"
2094,le320,introduction to signal and system; spectrum of signal and applications of fourier series and transform; analog modulation am dsb ssb fm nbfm pm; noise in analog communication; binary baseband modulation; nyquist’s sampling theory and quantization; pulse analog modulation pulse code modulation (pcm) delta modulation (dm); multiplexing time-division multiplexing (tdm); frequency-division multiplexing (fdm); introduction to transmission lines radio wave propagation microwave components and satellite communications and optical communication,['disciplinary course(s): le210'],"['consecutive course(s): le323, le434, le435']",eng,"['le210', 'le323', 'le434', 'le435']"
2097,le324,introduction to data communications and networks; layered network architecture; point-to-point protocols and links; delay models in data networks; multi-access communication; routing in data networks; data flow control; data security,['disciplinary course(s): นักศึกษาชั้นปีที่ 3 ขึ้นไป'],[],eng,[]
2099,le325,network theorems; analysis and design of equivalent one-port and two-port; series and parallelresonance multipleresonance wave filters; impedancetransformation and matching networks; network approach to theory of transmission line; utilization of transmission lines for impedancematching,['disciplinary course(s): le240'],[],eng,['le240']
2101,le330,confidence intervals; hypothesis testing; estimation; regression and correlation; nonparametric tests; analysis of variance; engineering applications,['disciplinary course(s): le211'],[],eng,['le211']
2103,le340,frequency response of bipolar and cmos amplifiers; current mirrors differential amplifiers output stages and power amplifiers; feedback amplifiers and stability; positive feedback and oscillators; analog filters,['disciplinary course(s): le241'],[],eng,['le241']
2105,le341,atomic physics and theory of energy bands in solids; energy bands and charge carriers in semiconductors; excess carriers in semiconductors; pn junction diode; bipolar junction transistors; field effect transistors; lasers; switching devices; microwave devices; integrated circuit fabrication,['disciplinary course(s): sc134'],"['consecutive course(s): le344, le345']",eng,"['sc134', 'le344', 'le345']"
2107,le343,ray and the foundations of geometrical optics interference diffraction coherence and polarization imagery by a single surface and a thin film lens gaussian optics introduction to aberrations optical design introduction to mathematical optics and lie optics,['disciplinary course(s): ma112 and sc134'],[],eng,"['ma112', 'sc134']"
2108,le344,physics of optical radiationinteraction between optical radiation and matterprinciples and applications of optoelectronic devices egsources detectors as well as other optical materials devices components and equipment,['disciplinary course(s): le341'],[],eng,['le341']
2110,le360,introduction to ac power circuit; structure of electric power systems per unit system; ac machine characteristics and model; power transformer characteristics and models; sources of electric energy production; load characteristics; electric power plants; transmission line parameters and models; cable parameters and models; relationship between currents and voltages; regulation of voltages; electric energy transmission and losses; symmetrical three-phase faults; standards and safety,['disciplinary course(s): le260'],"['consecutive course(s): ei416, ei417, le364, le365, le474, le478']",eng,"['le260', 'ei416', 'ei417', 'le364', 'le365', 'le474', 'le478']"
2111,le363,performances and characteristic of single-phase induction machines three-phase induction machines and synchronous machines; starting paralleling and controlling of electrical machines; application of ac electrical machines; troubleshooting of electrical machines; protection of electrical machines,['disciplinary course(s): le260'],['consecutive course(s): le467'],eng,"['le260', 'le467']"
2113,le380,fundamentals of measurement units and standard instruments standard and calibration of electrical instruments voltage current and power measurements impedance measurement at low and high frequencies magnetic measurements measurement systems: sensors and transducers signal-conditioning circuits analog-to-digital converter digital techniques in measurement noises signal-to-noise ratio enhancement techniques: shielding grounding filtering data analysis and measurement errors,['disciplinary course(s): le241'],"['consecutive course(s): ei330, ei438, le483, le486, le488']",eng,"['le241', 'ei330', 'ei438', 'le483', 'le486', 'le488']"
2115,le381,principles of automatic control systems mathematical modeling of physical systems transfer functions block diagrams and signal-flow graphs introduction to state-variable analysis stability of linear control systems time domain and frequency domain analysis of stability root-locus analysis frequency-response analysis basic control actions and industrial automatic controllers design of control systems and compensation techniques,['disciplinary course(s): le210'],['consecutive course(s): ei433'],eng,"['le210', 'ei433']"
2117,le382,instrument practices including specification evaluation measurement reading maintenance and calibration measurement system practices including experimental design measurement circuit data import and data processing,['disciplinary course(s): le380 or\nparallel degree/ dual degree le380'],[],eng,"['le380', 'le380']"
2118,le401,research and development project on an electrical engineering problem is carried out by an individual or a group of students under supervision of one or more academic staff membersthe student must submit reports and give an oral presentation on the project,['disciplinary course(s): เป็นนักศึกษาชั้นปีที่ 4 ต้องผ่านการอบรมโmaรงการอบรมภาษาอังกฤษ (english training) หรือได้รับmaะแนน tu-get ไม่ต่ำกว่า 300 maะแนน'],['consecutive course(s): le402'],eng,['le402']
2120,le402,a continuation of electrical engineering project i to the final stage of writing a full report and giving a final presentation,['disciplinary course(s): le401'],[],eng,['le401']
2123,le415,historical development of image processingimage data structuresimage preprocessingimage enhancementimage classificationimage postprocessingimage compression and restorationfigure modelingcomputer animationcontour mesh conversionapplications of image processingintroduction to computer vision,['disciplinary course(s): le210'],[],eng,['le210']
2125,le434,introduction to wireless transmission systems; propagation; modulation and coding; networking systems and standardsnetwork architectures and protocols in wireless and mobilenetworks such as cellular networks cordless phones paging networks gsm umts ieee 80211 and ad hoc networks; location management; handoff management and authentication protocols; next generation wireless system,['disciplinary course(s): le320'],[],eng,['le320']
2127,le465,characteristics of power electronics devices; power diode; thyristors power bipolar transistors; mosfet; igbt; characteristics of magnetic materials in power electronics; power transformer core; ferrite core; iron powder core; converters and their applications; ac to dc converter; dc to dc converter; ac to ac converter; dc to ac converter,['disciplinary course(s): le241'],"['consecutive course(s): le469, le477']",eng,"['le241', 'le469', 'le477']"
2129,le467,load curve; diesel power plant; steam power plant; gas turbine power plant; combined cycle power plant; hydro power plant; nuclear power plant; renewable energy sources; type of substation; substation equipment; substation layout; lightning protection; grounding systems,['disciplinary course(s): le363'],[],eng,['le363']
2131,le468,causes and statistics of faults roleof protective relays fundamental of protective relaying protective relays requirement relay structures and characteristics current and voltage transformers over current and earth fault protection for transmission lines transmission line protection by pilot relaying and distancerelaying differential protection transformer protection generator protection bus-zone protection motor protection,['disciplinary course(s): le365'],[],eng,['le365']
2133,le484,overview of robot technologies structure of mobile robots sensor and actuators robot kinematics and dynamics measurement and control techniques path planning localization and navigation systems artificial intelligent and its applications in mobile robotics,[],[],eng,[]
2134,le487,theory and applications of fuzzy systems and neural networks adaptive fuzzy systems neuron structure and dynamics unsupervised and supervised learning,['disciplinary course(s): le200'],[],eng,['le200']
2135,me100,the significance of drawing instruments and their uses lining and lettering work preparation applied geometry dimensioning and tolerancing orthographic drawing pictorial drawing freehand sketching sections and auxiliary views computer aided drawing,"['consecutive course(s): ce201, me200']",[],eng,"['ce201', 'me200']"
2143,me200,basic descriptive geometry intersection and development of surfaces symbols in mechanical drawing piping drawing welding drawing drawing of machine elements specification of surface finish allowance and tolerance assembly and detailed drawing computer aided drawing,['disciplinary course(s): me100'],['consecutive course(s): ie435'],eng,"['me100', 'ie435']"
2144,me210,forces and stresses review of engineering materials stresses and strains relationship stresses in beams shear force and bending moment diagrams deflection of beams torsion buckling of columns stresses in pressure vessels mohr's circle and combined stresses statically indeterminate systems hooke's law strain energy failure criterion introduction to finite elements stress measurement,['disciplinary course(s): me291 or\nce202\nstำหรับนักศึกษาหลักstูตรวิศวกรรมศาstบัณฑิต stาขาวิศวกรรมเทmaโนโลยียานยนจ์ ต้องผ่านรายวิชาบังmaับก่อน me291'],"['consecutive course(s): me300, me310, me390, me392, me414, me474, me475, vte415']",eng,"['me291', 'ce202', 'me291', 'me300', 'me310', 'me390', 'me392', 'me414', 'me474', 'me475', 'te415']"
2145,me230,properties of pure substances equation of state for ideal and real gas thermodynamics diagrams and tables first law of thermodynamics second law of thermodynamics carnot cycle energy entropy heat transfer energy conversion gas mixtures,['disciplinary course(s): sc133 or\nsc135\nstำหรับนักศึกษาหลักstูตรวิศวกรรมศาstบัณฑิต stาขาวิศวกรรมเทmaโนโลยียานยนจ์ ต้องผ่านรายวิชาบังmaับก่อน sc135'],"['consecutive course(s): me300, me330, me331, me332, me334, me390, me435, me436, me437, vte330']",eng,"['sc133', 'sc135', 'sc135', 'me300', 'me330', 'me331', 'me332', 'me334', 'me390', 'me435', 'me436', 'me437', 'te330']"
2148,me290,properties of fluids fluid statics buoyancy momentum equation energy equation kinematics of incompressible and non-viscous fluid flow dimensional analysis and similitude incompressible and viscous fluid flow fluid measurement flow in pipes introduction to design of piping system,['disciplinary course(s): sc133'],['consecutive course(s): me390'],eng,"['sc133', 'me390']"
2151,me291,force systems; resultant; equilibrium; kinematics and kinetics of particles and rigid bodies; newton’s second law of motion; work and energy impulse and momentum,['disciplinary course(s): sc133 or\nsc135\nstำหรับนักศึกษาหลักstูตรวิศวกรรมศาstบัณฑิต stาขาวิศวกรรมเทmaโนโลยียานยนจ์ ต้องผ่านรายวิชาบังmaับก่อน sc135'],"['consecutive course(s): me210, me320, me322, vte320, vte322, vte450']",eng,"['sc133', 'sc135', 'sc135', 'me210', 'me320', 'me322', 'te320', 'te322', 'te450']"
2152,me310,principles and significance of design design philosophy and methods factors affecting design theory of failure stress concentration failure under unsteady load design of simple machine elements ie spring power screws joints shafts keys flywheels couplings etc introduction to computer aided design and engineering,['disciplinary course(s): me210'],"['consecutive course(s): me415, me416, me464']",eng,"['me210', 'me415', 'me416', 'me464']"
2153,me320,basic mechanisms and terminology kinematics of rigid bodies relative motion mathematical and graphical analyses of kinematics of gear trains cams linkages and some power transmission mechanisms kinetics of rigid bodies d'alembert's principle analysis of forces in mechanisms balancing of machinery flywheel gyroscope introduction to numerical solution of kinematics problems,['disciplinary course(s): me220'],[],eng,['me220']
2154,me321,fundamental of measurement: resolution sensitivity errors and significant digits statistical methods for data analysis and data improvement calibration review of basic measurement in electricity principles and applications of measuring instruments and sensors in mechanical engineering such as measurement of distance linear and angular velocity acceleration and vibration; measurement of temperature humidity energy and heat transfer; measurement of force torque stress and strain; measurement of viscosity flow velocity flow rate and pressure; etc,['disciplinary course(s): le209 and sc133'],['consecutive course(s): me420'],eng,"['le209', 'sc133', 'me420']"
2155,me325,fundamental of fluid power systems and their applications pneumatic and hydraulic circuit structure and principle of pneumatic and hydraulic systems design and drawing of the circuits basic circuit cascade circuit flow control with electric ladder diagram plc selection of equipments such as air-compressor pressure tank control valves actuator etc efficiency installation maintenance and trouble shooting application to industry,['disciplinary course(s): me240\nหรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,['me240']
2156,me330,modes of heat transfer conduction : steady state one and two-dimensional heat conduction one dimensional unsteady state conduction convection: dimensional analysis in convection heat transfer natural convection on plane and cylindrical surfaces forced convection on circular pipe plane surface and in conduits simplified analysis in convection heat transfer relationship between heat transfer and fluid friction condensation and boiling radiation: absorption and emission characteristics angle factor radiation of black and gray bodies aplications of heat transfer heat exchangers and heat transfer enhancement introduction to numerical methods for solution of heat transfer problems,['disciplinary course(s): me230 and me240'],"['consecutive course(s): me400, me430, me436, me437, me457, me476, me478, me479, vte435']",eng,"['me230', 'me240', 'me400', 'me430', 'me436', 'me437', 'me457', 'me476', 'me478', 'me479', 'te435']"
2158,me350,ffundamental of numerical method numerical approximation and error analysis numerical solutions of system of linear and non linear equations numerical integration finite difference approximation of derivatives discretization of differential equations development of algorithm and computer programs for practical applications,['disciplinary course(s): cn101 and ma131 and ma214 or\ncn101 and ma214\nstำหรับนักศึกษาหลักstูตรวิศวกรรมศาstบัณฑิต stาขาวิศวกรรมเทmaโนโลยียานยนจ์ ต้องผ่านรายวิชาบังmaับก่อน cn101 และ ma214'],"['consecutive course(s): me351, me354, me454, me455, me456, me457']",eng,"['cn101', 'ma131', 'ma214', 'cn101', 'ma214', 'cn101', 'ma214', 'me351', 'me354', 'me454', 'me455', 'me456', 'me457']"
2159,me392,design procedure factors affecting design safety factor review of solid mechanics engineering materials and theories of failure stress concentration design of mechanical parts for load bearing such as beams shafts thread fasteners and various types of joints power sources and power transmission design of basic machine elements such as springs power screws rotating shafts keys couplings flywheels clutches brakes bearings chains belt gears machine design design for manufacturing and assembly reverse engineering,['disciplinary course(s): me210'],[],eng,['me210']
2160,me400,additional experiments in the fields of power plant engineering heat transfer automatic control system mechanical vibrations and gas dynamics,['disciplinary course(s): me300 and me322 and me330\n- หรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,"['me300', 'me322', 'me330']"
2161,me414,introduction of material failures fracture and deformation of materials behaviors and mechanisms of failure under static and repeated loads fatigue crack initiation and fatigue crack growth wear corrosion material testings,['disciplinary course(s): me210\nหรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,['me210']
2162,me420,review of principle and fundamental components of computers basic electronic circuits interfacing computers to the real world conversion between digital and analog signals types and principles of sensors for mechanical engineering applications data acquisition from sensors to computers use of electrical signals to control machines basic control theory sensors in automatic control plc basic experiment in mechatronics basic of hydraulic and pneumatic systems,['disciplinary course(s): me321 and me323'],[],eng,"['me321', 'me323']"
2163,me430,reviews of thermodynamics principles principles of refrigeration and various refrigeration systems single stage and two stages mechanical vapor compression refrigeration cycles main components such as compressor condenser evaporator refrigerant flow control equipment auxiliary equipment absorption refrigeration refrigerants psychrometrics air conditioning system design introduction to current refrigeration and air conditioning technology cooling load calculation for refrigeration and air conditioning systems freezing of foods duct design principles of air distribution and diffuser selection,['disciplinary course(s): me330'],"['consecutive course(s): me434, me465']",eng,"['me330', 'me434', 'me465']"
2164,me437,analysis and design of thermal systems selection of equipment in fluid systems and thermal systems mathematical modeling and empirical equations for solving thermal problems exergy analysis optimization analysis and design of thermal systems using computer programming,['disciplinary course(s): me230 and me240 and me330\nหรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,"['me230', 'me240', 'me330']"
2165,me476,introduction to microwave heating technology basic components of microwave heating dielectric property of materials development of mathematical model analysis of semi-infinite bodies with lambert law analysis of heat transfer in finite bodies with maxwell equation computer aided modeling design of microwaving heating for industries,['disciplinary course(s): me330\nหรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,['me330']
2166,me480,this course is concurrent with me 481 students will be trained in researching report writing and presenting technical reports to an audience written report and oral presentations are required which aim to develop thai usage and sound engineering report writing skills the report must be related to the work in me 481,['disciplinary course(s): stอบได้วิชาเฉพาะพื้นฐานทุกวิชา และมีstถานะเทียบเท่านักศึกษาชั้นปีที่ 4 หรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],[],eng,[]
2168,me482,study and problem solving in industry for the purpose of research and development prepare students for cooperative education for no less than 30 hours the study is conducted individually or in groups not exceeding 3 students and fits the following description (1) a search for invention that can be developed into commercialized product (2) problem solving in manufacturing process improvement or utilization of defections or rejects (3) technological improvement (from those granted patent) management of information and servicing for business decision making the duration of course is not to be less than 4 months and not exceeding 6 months it is evaluated by committee consisting of lecturers and industrial associates students are required to submit reports and make oral presentation,['disciplinary course(s): stอบได้วิชาเฉพาะพื้นฐานทุกวิชา และมีstถานะเทียบเท่านักศึกษาชั้นปีที่ 4 หรือได้รับอนุมัติจากอาจารย์ผู้stอนและหัวหน้าภาmaวิชาฯ'],['consecutive course(s): me483'],eng,['me483']
2173,tse101,introduction to data science data engineer artificial intelligence as well as emerging technologies such as crypto currency block chain quantum computing digital twin augmented reality students should be able to understand the landscape of smart and innovative technologies raising their awareness of living in modern metaverse era,[],[],eng,[]
2175,vte322,basic mechanisms and terminology kinematics of rigid bodies relative motion mathematical and graphical analyses of kinematics of gear trains cams linkages and some power transmission mechanisms kinetics of rigid bodies d'alembert's principle analysis of forces in mechanisms balancing of machinery flywheel gyroscope introduction to numerical solution of kinematics problems the behavior of lumped systems with single degrees of freedom torsional vibration free and forced vibration method of equivalent systems natural frequency and damping effects principles of vibration isolation and vibration measuring instruments lumped systems with two degrees of freedom: natural frequencies modes and mode shapes principle of dynamics vibration absorbers lumped systems with several degrees of freedom whirling of shafts introduction to distributed parameter systems methods and techniques to reduce and control vibration introduction to non-linear systems introduction to numerical solution of vibration problems,['disciplinary course(s): me291'],[],eng,['me291']
2177,vte350,computer aided drawing: solid modeling free-form geometry assembly fundamental of finite element method computer aided engineering analysis: kinematic analysis heat transfer analysis stress-strain analysis computational fluid dynamics non-linear analysis laboratory sessions cover utilization of commercial software in vehicle design analysis,[],[],eng,[]
2178,vte351,sensor technology for measurement and detection of engineering quantities such as: position distance velocity acceleration force strain pressure temperature humidity flow rate combustion efficiency knock sensor light intensity sound level etc sensor output and data transmission data acquisition and processing introduction to applications of sensors in vehicles: engine and power train management cruise control brake system control vehicle stability control etc laboratory sessions study different kinds of measuring instruments,[],[],eng,[]
2179,vte410,ergonomics vehicle design focuses on system and sub-system design design procedures overall vehicle layout structural design aerodynamics issues selection of power plant design of transmissions and drivelines design of suspension steering and brake systems laboratory sessions cover design practice group design project,['disciplinary course(s): vte201'],['consecutive course(s): me464'],eng,"['te201', 'me464']"
2180,vte465,types of industrial robots review of matrix calculus motion analysis of robots inverse kinematics of robot mechanism load analysis strength analysis of structure and mechanism mechanical power sources selection of sensors basic robot control optimal trajectories robot vision and artificial intelligence applications of robots in vehicle industry trips to robot-assembly plants,[],[],eng,[]
